Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,D. arida,8409,8418,5.92,2,,,,NoMatch,0.0,,,,,,,,
1,,D. arida data,26557,26570,7.12,3,,,,NoMatch,0.0,,,,,,,,
2,,D. arida versus,40696,40711,7.48,3,,,,NoMatch,0.0,,,,,,,,
3,,D. durvillaea,7376,7389,6.40,2,,,,NoMatch,0.0,,,,,,,,
4,,Diloma,375,382,4.84,1,,,,Exact,9.01315,0,"Diloma Philippi, 1845",Diloma,7NWTQ,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Vetigastropoda|Trochida|Trochoidea|Trochidae|Monodontinae|Diloma,
5,,Diloma arida,7345,7357,11.16,2,,,,Exact,8.94848,0,Diloma arida,Diloma arida,150233,179,Open Tree of Life,||Eukaryota|Opisthokonta|Holozoa|Metazoa|Eumetazoa|Bilateria|Protostomia|Lophotrochozoa|Mollusca|Gastropoda|Vetigastropoda|Trochoidea|Trochidae|Monodontinae|Diloma|Diloma arida,
6,,Diloma durvillaea,8340,8357,11.64,2,,,,Exact,9.01315,0,"Diloma durvillaea Spencer, B. A. Marshall & Waters, 2009",Diloma durvillaea,365TS,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Vetigastropoda|Trochida|Trochoidea|Trochidae|Monodontinae|Diloma|Diloma durvillaea,
7,,Durvillaea antarctica,383,405,9.27,2,,,,Exact,8.98392,0,Durvillaea antarctica (Chamisso) Hariot,Durvillaea antarctica,11752,195,AlgaeBase,Ochrophyta|Phaeophyceae|Fucales|Durvillaeaceae|Durvillaea|Durvillaea antarctica,
8,,Ecklonia radiata,5171,5187,11.79,2,,,,Exact,8.98392,0,Ecklonia radiata (C.Agardh) J.Agardh,Ecklonia radiata,3463,195,AlgaeBase,Ochrophyta|Phaeophyceae|Laminariales|Lessoniaceae|Ecklonia|Ecklonia radiata,
9,,Fucales,5027,5034,1.86,1,,,,Exact,9.00960,0,Fucales,Fucales,7NFB7,1,Catalogue of Life,Biota|Chromista|Ochrophyta|Phaeophyceae|Fucales,
10,,Fucus vesiculosus,5126,5144,10.96,2,,,,Exact,8.98392,0,Fucus vesiculosus L.,Fucus vesiculosus,50107416,165,Tropicos,,
11,,Gastropoda,6885,6897,4.62,1,,,,Exact,9.01315,0,"Gastropoda Cuvier, 1795",Gastropoda,7NF3Y,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda,
12,,Laminariales,5039,5051,2.78,1,,,,Exact,9.00960,0,Laminariales,Laminariales,7NFBR,1,Catalogue of Life,Biota|Chromista|Ochrophyta|Phaeophyceae|Laminariales,
13,,Macrocystis pyrifera,5145,5166,11.87,2,,,,Exact,8.98392,0,Macrocystis pyrifera (Linnaeus) Agardh,Macrocystis pyrifera,11274,3,ITIS,Chromista|Chromista|Phaeophyta|Phaeophyceae|Laminariales|Lessoniaceae|Macrocystis|Macrocystis pyrifera,
14,,Monodontinae,6909,6923,4.43,1,,,,Exact,9.01315,0,"Monodontinae Gray, 1857",Monodontinae,7NM2N,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Vetigastropoda|Trochida|Trochoidea|Trochidae|Monodontinae,
15,,Oamaru,13751,13757,2.12,1,,,,Exact,9.01315,0,"Oamaru Lowry & Myers, 2019",Oamaru,7ZJSL,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Amphipoda|Senticaudata|Talitrida|Talitridira|Talitroidea|Talitroidae|Makawidae|Oamaru,
16,,Sypharochiton,49381,49394,2.34,1,,,,Exact,9.01315,0,"Sypharochiton Thiele, 1893",Sypharochiton,7PHWN,1,Catalogue of Life,Biota|Animalia|Mollusca|Polyplacophora|Neoloricata|Chitonida|Chitonina|Chitonoidea|Chitonidae|Chitoninae|Sypharochiton,
17,,Tongarewa,14935,14944,3.78,1,,,,Exact,8.95257,0,"Tongarewa Schwarzhans, 2019",Tongarewa,11128694,11,GBIF Backbone Taxonomy,Animalia|Chordata|Actinopterygii|Perciformes|Tripterygiidae|Tongarewa,
18,,Trochidae,6898,6908,5.40,1,,,,Exact,9.01315,0,"Trochidae Rafinesque, 1815",Trochidae,7NLFQ,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Vetigastropoda|Trochida|Trochoidea|Trochidae,
