Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Agrius convolvuli,7447,7464,10.56,2,,,,Exact,9.01315,0,"Agrius convolvuli Linnaeus, 1758",Agrius convolvuli,B7YD,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Bombycoidea|Sphingidae|Agrius|Agrius convolvuli,
1,,B. fusca,2206,2215,5.12,2,,,,NoMatch,0.0,,,,,,,,
2,,Bacillus thuringiensis,464,487,11.80,2,,,,Exact,9.01315,0,"Bacillus thuringiensis Berliner, 1915",Bacillus thuringiensis,5VYGL,1,Catalogue of Life,Biota|Bacteria|Posibacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus thuringiensis,
3,,Busseola fusca,1610,1624,10.26,2,,,,Exact,9.01315,0,"Busseola fusca Fuller, 1901",Busseola fusca,NYRB,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Noctuoidea|Noctuidae|Busseola|Busseola fusca,
4,,C. viscosa,16255,16265,7.11,2,,,,NoMatch,0.0,,,,,,,,
5,,Capparidaceae,12790,12805,4.53,1,,,,Exact,9.01138,0,Capparidaceae Tribus Stixeae,Capparidaceae,7PJ,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Brassicales|Stixaceae,
6,,G. anomalum,11529,11540,6.72,2,,,,NoMatch,0.0,,,,,,,,
7,,G. barbadense,11557,11570,6.75,2,,,,NoMatch,0.0,,,,,,,,
8,,G. barbosanum,11511,11524,7.17,2,,,,NoMatch,0.0,,,,,,,,
9,,G. herbaceum,11486,11498,6.72,2,,,,NoMatch,0.0,,,,,,,,
10,,G. hirsutum,11659,11670,7.21,2,,,,NoMatch,0.0,,,,,,,,
11,,Gossypium,11391,11401,5.42,1,,,,Exact,9.01315,0,Gossypium L.,Gossypium,4QG7,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Malvoideae|Gossypium,
12,,Gossypium arboreum,11463,11481,12.40,2,,,,Exact,9.01315,0,Gossypium arboreum L.,Gossypium arboreum,6L3RF,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Malvoideae|Gossypium|Gossypium arboreum,
13,,H. armigera,3176,3187,6.74,2,,,,NoMatch,0.0,,,,,,,,
14,,H. punctigera,1801,1814,6.97,2,,,,NoMatch,0.0,,,,,,,,
15,,H. suaveolens,16279,16292,6.47,2,,,,NoMatch,0.0,,,,,,,,
16,,Helicoverpa armigera,99,119,11.70,2,,,,Exact,9.01315,0,"Helicoverpa armigera Hübner, 1827",Helicoverpa armigera,3K9KB,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Noctuoidea|Noctuidae|Helicoverpa|Helicoverpa armigera,
17,,Helicoverpa zea,1772,1787,2.93,2,,,,Exact,9.01315,0,"Helicoverpa zea Boddie, 1850",Helicoverpa zea,3K9KZ,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Noctuoidea|Noctuidae|Helicoverpa|Helicoverpa zea,
18,,Hyptis,16657,16663,3.94,1,,,,Exact,9.00960,0,Hyptis,Hyptis,534M,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Hyptis,
19,,Hyptis suaveolens,12810,12827,10.80,2,,,,Exact,9.01138,0,Hyptis suaveolens (L.) Poit.,Hyptis suaveolens,3P5D8,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Mesosphaerum|Mesosphaerum suaveolens,
20,,Lamiaceae,12839,12851,4.26,1,,,,Exact,9.00960,0,Lamiaceae,Lamiaceae,BR9,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae,
21,,Lepidoptera,7468,7481,5.11,1,,,,Exact,9.00960,0,Lepidoptera,Lepidoptera,LP,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera,
22,,P. gossypiella,2243,2257,7.33,2,,,,NoMatch,0.0,,,,,,,,
23,,Pectinophora gossypiella,1709,1733,13.58,2,,,,Exact,9.01315,0,"Pectinophora gossypiella Saunders, 1843",Pectinophora gossypiella,75XDF,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Gelechioidea|Gelechiidae|Pectinophora|Pectinophora gossypiella,
24,,Ravi,5145,5149,0.91,1,,,,Exact,8.98344,0,"Cortinarius sect. Ravi Liimat., Kytöv., Niskanen & Ammirati 2020",Ravi,557536,5,Index Fungorum,,
25,,S. frugiperda,2224,2238,4.50,2,,,,NoMatch,0.0,,,,,,,,
26,,Sphingidae,7482,7493,4.76,1,,,,Exact,9.00960,0,Sphingidae,Sphingidae,GHS,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Bombycoidea|Sphingidae,
27,,Spodoptera frugiperda,1654,1675,10.43,2,,,,Exact,9.01315,0,"Spodoptera frugiperda Smith & Abbot, 1797",Spodoptera frugiperda,4Z9P3,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Noctuoidea|Noctuidae|Spodoptera|Spodoptera frugiperda,
