Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Dorota,170,176,4.22,1,,,,Exact,0,Dorota Novak 2018,Dorota,5432247,168,ION,,
1,,Drosophila,18834,18844,4.89,1,,,,Exact,0,Drosophila,Drosophila,8NPBW,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Drosophilidae|Drosophila,
2,,Drosophila melanogaster,18692,18715,9.57,2,,,,Exact,0,"Drosophila (Sophophora) melanogaster Meigen, 1830",Drosophila melanogaster,8BXCZ,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Drosophilidae|Drosophilinae|Drosophilini|Drosophilina|Drosophila|Sophophora|Drosophila melanogaster,
3,,Ianthe,14859,14865,2.71,1,,,,Exact,0,"Ianthe Marseul, 1865",Ianthe,urn:lsid:irmng.org:taxname:1184877,181,IRMNG,Biota|Animalia|Arthropoda|Hexapoda|Insecta|Coleoptera|Buprestidae|Ianthe,
4,,Isoetes,12654,12661,2.22,1,,,,Exact,0,Isoetes L.,Isoetes,55GH,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Lycopodiopsida|Isoetales|Isoetaceae|Isoetes,
5,,Mega,27619,27623,2.12,1,,,,Exact,0,Mega,Mega,98021101,169,uBio NameBank,,
6,,P. antipodarum,4810,4824,7.43,2,,,,NoMatch,,,,,,,,
7,,P. estuarinus,46920,46933,7.28,2,,,,NoMatch,,,,,,,,
8,,Poecilia formosa,49568,49585,9.03,2,,,,Exact,0,"Poecilia formosa (Girard, 1859)",Poecilia formosa,4KSDG,1,Catalogue of Life,Biota|Animalia|Chordata|Actinopterygii|Cyprinodontiformes|Poeciliidae|Poecilia|Poecilia formosa,
9,,Potamopyrgus antipodarum,1360,1385,13.20,2,,,,Exact,0,"Potamopyrgus antipodarum (Gray, 1843)",Potamopyrgus antipodarum,4M4N5,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Littorinimorpha|Truncatelloidea|Tateidae|Potamopyrgus|Potamopyrgus antipodarum,
10,,Sˇ marda,44083,44091,,2,,,,NoMatch,,,,,,,,
