Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Arizona,26370,26377,,1,,,,Exact,9.00960,0,Arizona,Arizona,32YJ,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Colubroidea|Colubridae|Colubrinae|Arizona,
1,,Arizona elegans,11636,11652,9.56,2,,,,Exact,9.01315,0,"Arizona elegans Kennicott, 1859",Arizona elegans,GR56,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Colubroidea|Colubridae|Colubrinae|Arizona|Arizona elegans,
2,,Crotalus atrox,37618,37634,9.56,2,,,,Exact,9.01315,0,"Crotalus atrox Baird & Girard, 1853",Crotalus atrox,6BJ5K,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Viperidae|Crotalinae|Crotalus|Crotalus atrox,
3,,Getula,9150,9156,4.74,1,,,,Exact,9.01315,0,"Getula Karling, 1980",Getula,7P3LG,1,Catalogue of Life,Biota|Animalia|Platyhelminthes|Rhabditophora|Rhabdocoela|Kalyptorhynchia|Eukalyptorhynchia|Koinocystididae|Getula,
4,,L. getula,8816,8825,5.90,2,,,,NoMatch,0.0,,,,,,,,
5,,Lampropeltis,9137,9149,4.94,1,,,,Exact,9.00960,0,Lampropeltis,Lampropeltis,62XJG,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Colubroidea|Colubridae|Colubrinae|Lampropeltis,
6,,Lampropeltis calligaster,11653,11678,9.77,2,,,,Exact,9.01315,0,"Lampropeltis calligaster (Harlan, 1827)",Lampropeltis calligaster,3S4VG,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Colubroidea|Colubridae|Colubrinae|Lampropeltis|Lampropeltis calligaster,
7,,Lampropeltis extenuata,11707,11729,13.19,2,,,,Exact,9.01315,0,"Lampropeltis extenuata (Brown, 1890)",Lampropeltis extenuata,3S4VM,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Colubroidea|Colubridae|Colubrinae|Lampropeltis|Lampropeltis extenuata,
8,,Lampropeltis getula,198,217,11.24,2,,,,Exact,9.01315,0,"Lampropeltis getula (Linnaeus, 1766)",Lampropeltis getula,3S4VP,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Colubroidea|Colubridae|Colubrinae|Lampropeltis|Lampropeltis getula,
9,,Lampropeltis triangulum,11679,11702,12.28,2,,,,Exact,9.01315,0,"Lampropeltis triangulum (Lacépède, 1789)",Lampropeltis triangulum,3S4WF,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Colubroidea|Colubridae|Colubrinae|Lampropeltis|Lampropeltis triangulum,
10,,Moneleima armatum,37542,37561,6.53,2,,,,NoMatch,0.0,,,,,,,,
11,,Sceloporus magister,37680,37701,9.88,2,,,,Exact,9.01315,0,"Sceloporus magister Hallowell, 1854",Sceloporus magister,6XVYN,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Phrynosomatidae|Sceloporus|Sceloporus magister,
12,,Stilosoma vetustum,14157,14190,13.17,2,,,,Exact,8.94848,0,Stilosoma vetustum,Stilosoma vetustum,47046834,12,EOL,,
