Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Apicomplexa,51360,51372,2.35,1,,,,Exact,0,"Apicomplexa Levine, 1970",Apicomplexa,urn:lsid:irmng.org:taxname:128,181,IRMNG,Biota|Chromista|Harosa|Halvaria|Alveolata|Miozoa|Myzozoa|Apicomplexa,
1,,Dinoflagellata,51394,51409,4.43,1,,,,Exact,0,Dinoflagellata,Dinoflagellata,3335,2,Wikispecies,,
2,,Isla,8944,8948,1.47,1,,,,Exact,0,"Isla Navás, 1914",Isla,urn:lsid:irmng.org:taxname:1199252,181,IRMNG,Biota|Animalia|Arthropoda|Hexapoda|Insecta|Neuroptera|Mantispidae|Campion,
3,,Montastraea annularis,46701,46722,12.85,2,,,,Exact,0,"Montastraea annularis (Ellis & Solander, 1786)",Montastraea annularis,6S26M,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Scleractinia|Merulinidae|Orbicella|Orbicella annularis,
4,,P. malariae,51966,51979,6.73,2,,,,NoMatch,,,,,,,,
5,,Pocillopora,904,915,5.64,1,,,,Exact,0,"Pocillopora Lamarck, 1816",Pocillopora,84SGV,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Scleractinia|Pocilloporidae|Pocillopora,
6,,Pocillopora colonies,38209,38229,5.34,2,,,,PartialExact,0,"Pocillopora Lamarck, 1816",Pocillopora,84SGV,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Scleractinia|Pocilloporidae|Pocillopora,
7,,Pocillopora data,21213,21229,8.46,2,,,,PartialExact,0,"Pocillopora Lamarck, 1816",Pocillopora,84SGV,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Scleractinia|Pocilloporidae|Pocillopora,
8,,S. glynni,1025,1034,5.45,2,,,,NoMatch,,,,,,,,
9,,Symbiodinium,137,149,5.70,1,,,,Exact,0,"Symbiodinium Freudenthal, 1962",Symbiodinium,urn:lsid:marinespecies.org:taxname:109572,9,WoRMS,Biota|Chromista|Harosa|Alveolata|Myzozoa|Dinozoa|Dinoflagellata|Dinophyceae|Suessiales|Symbiodiniaceae|Symbiodinium,
10,,Symbiodinium glynni,812,831,11.55,2,,,,Exact,0,Symbiodinium glynni,Symbiodinium glynni,4539035,168,ION,,
11,,Symbiodinium may,5813,5829,4.07,2,,,,PartialExact,0,"Symbiodinium Freudenthal, 1962",Symbiodinium,urn:lsid:marinespecies.org:taxname:109572,9,WoRMS,Biota|Chromista|Harosa|Alveolata|Myzozoa|Dinozoa|Dinoflagellata|Dinophyceae|Suessiales|Symbiodiniaceae|Symbiodinium,
